Region,Province,Age_Group,Male,Female,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,15 - 19,54855,52186,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,10 - 14,59270,55982,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,5 - 9,62380,57866,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,0 - 4,62002,58424,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,30 - 34,35593,32390,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,15 - 19,103784,100993,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,20 - 24,96235,93737,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,25 - 29,85666,82332,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,30 - 34,73082,68732,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,40 - 44,58872,54547,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,45 - 49,50368,48061,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,50 - 54,43356,42960,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,55 - 59,36357,36081,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,35 - 39,63319,58856,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,65 - 69,20316,22474,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,5 - 9,116421,109741,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,60 - 64,28961,30542,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,10 - 14,111522,106728,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,0 - 4,110592,105904,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,70 - 74,11700,14916,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,>= 80,5519,9755,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,75 - 79,6276,9088,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,5 - 9,41754,39076,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,>= 80,2026,2953,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,75 - 79,2292,2890,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,70 - 74,3840,4527,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,65 - 69,6724,6800,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,60 - 64,9494,9406,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,55 - 59,11971,11345,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,45 - 49,16368,15076,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,0 - 4,37576,35130,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,40 - 44,18731,16767,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,30 - 34,23725,22021,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,25 - 29,26900,26043,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,20 - 24,29498,28643,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,15 - 19,36277,34867,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,10 - 14,40239,38394,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,50 - 54,14573,13738,,
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,35 - 39,20368,18616,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
#REF!,,,,,,
